epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3216,1.19814,2.48027,1.50582,0.59713,0.64916,0.61632,0.34207,1.28557,2.49088,1.71716,0.000411111,0.000411111,0.000411111
2,38.2552,1.24856,1.88382,1.52043,0.59182,0.77323,0.75681,0.46145,1.35345,1.8961,1.80698,0.000811388,0.000811388,0.000811388
3,55.762,1.28461,1.7553,1.52372,0.56195,0.63093,0.68466,0.38365,1.42698,1.81256,1.81314,0.00119516,0.00119516,0.00119516
4,73.4651,1.31832,1.70302,1.55252,0.61528,0.60453,0.58789,0.28767,1.61728,1.88641,1.95334,0.00117575,0.00117575,0.00117575
5,91.1237,1.27949,1.57744,1.52806,0.69121,0.79785,0.84714,0.52211,1.3194,1.14616,1.63614,0.001151,0.001151,0.001151
6,109.076,1.26138,1.51423,1.5029,0.62942,0.69163,0.79569,0.48006,1.25404,1.62585,1.59925,0.00112625,0.00112625,0.00112625
7,127.302,1.26026,1.4334,1.50189,0.52856,0.80895,0.76298,0.43618,1.38428,1.29461,1.69679,0.0011015,0.0011015,0.0011015
8,145.566,1.22391,1.40072,1.47225,0.81506,0.6172,0.79598,0.49804,1.32901,1.51801,1.64414,0.00107675,0.00107675,0.00107675
9,163.961,1.20494,1.32736,1.45711,0.76181,0.87459,0.93016,0.57508,1.27315,1.00554,1.58417,0.001052,0.001052,0.001052
10,183.124,1.19355,1.30018,1.46056,0.77308,0.7922,0.80724,0.51916,1.33379,1.0024,1.67358,0.00102725,0.00102725,0.00102725
11,201.673,1.16917,1.22008,1.43797,0.88624,0.7277,0.91634,0.59261,1.26213,1.03314,1.58114,0.0010025,0.0010025,0.0010025
12,220.316,1.17396,1.23083,1.43153,0.90221,0.84401,0.93852,0.62278,1.21819,0.8495,1.5195,0.00097775,0.00097775,0.00097775
13,239.013,1.14636,1.16479,1.40523,0.95562,0.89213,0.97107,0.64774,1.18368,0.67252,1.47502,0.000953,0.000953,0.000953
14,257.751,1.13203,1.12724,1.40283,0.88782,0.90287,0.96851,0.64853,1.1745,0.69181,1.48982,0.00092825,0.00092825,0.00092825
15,276.674,1.13847,1.126,1.39575,0.91499,0.91216,0.95874,0.62493,1.17031,0.70154,1.46957,0.0009035,0.0009035,0.0009035
16,295.441,1.10455,1.04683,1.37242,0.90413,0.94799,0.98751,0.6588,1.18558,0.60193,1.49849,0.00087875,0.00087875,0.00087875
17,314.22,1.12085,1.0548,1.38823,0.91741,0.86414,0.93661,0.61843,1.19219,0.69391,1.48855,0.000854,0.000854,0.000854
18,333.017,1.10133,1.05812,1.37996,0.88568,0.82373,0.97034,0.62736,1.19507,0.76563,1.4861,0.00082925,0.00082925,0.00082925
19,351.921,1.09984,1.01945,1.36057,0.83458,0.78505,0.9186,0.61117,1.15847,0.85604,1.46024,0.0008045,0.0008045,0.0008045
20,370.914,1.07525,0.97771,1.34797,0.9673,0.9518,0.98967,0.66,1.17331,0.56281,1.49066,0.00077975,0.00077975,0.00077975
21,389.79,1.08855,0.97782,1.35266,0.96305,0.95774,0.99058,0.65525,1.17691,0.50141,1.47298,0.000755,0.000755,0.000755
22,408.582,1.06245,0.96135,1.35125,0.95188,0.90928,0.99359,0.6646,1.13524,0.54871,1.44755,0.00073025,0.00073025,0.00073025
23,427.529,1.07948,0.95161,1.34569,0.98492,0.95542,0.9878,0.65549,1.16869,0.52594,1.48122,0.0007055,0.0007055,0.0007055
24,446.454,1.04099,0.93035,1.33042,0.8775,0.96087,0.97742,0.66723,1.11368,0.5591,1.44956,0.00068075,0.00068075,0.00068075
25,465.476,1.03923,0.90203,1.32226,0.97549,0.97805,0.99435,0.64872,1.17768,0.49264,1.47769,0.000656,0.000656,0.000656
26,484.31,1.03155,0.8855,1.31849,0.91995,0.91972,0.9733,0.65271,1.15005,0.6276,1.44623,0.00063125,0.00063125,0.00063125
27,503.267,1.0392,0.89333,1.32237,0.97413,0.96336,0.99211,0.69885,1.09446,0.45784,1.40858,0.0006065,0.0006065,0.0006065
28,522.147,1.01884,0.8738,1.30837,0.93772,0.96601,0.99056,0.68252,1.0862,0.53748,1.41897,0.00058175,0.00058175,0.00058175
29,541.029,1.01834,0.85244,1.30742,0.98855,0.96512,0.99354,0.68065,1.12592,0.46088,1.44167,0.000557,0.000557,0.000557
30,560.094,1.01031,0.8521,1.30633,0.92886,0.97127,0.99286,0.67645,1.12395,0.48819,1.41762,0.00053225,0.00053225,0.00053225
31,579.161,0.99992,0.83093,1.29109,0.94597,0.9612,0.96984,0.67057,1.10187,0.47985,1.41837,0.0005075,0.0005075,0.0005075
32,598.023,0.99088,0.81083,1.29101,0.98914,0.98315,0.99443,0.69262,1.10594,0.44324,1.40131,0.00048275,0.00048275,0.00048275
33,617.079,0.97288,0.79137,1.27198,0.9785,0.98852,0.99267,0.68891,1.10471,0.43512,1.42048,0.000458,0.000458,0.000458
34,636.176,0.99689,0.80952,1.29242,0.98743,0.98526,0.99459,0.68385,1.12127,0.45021,1.42786,0.00043325,0.00043325,0.00043325
35,655.264,0.96641,0.78678,1.26612,0.97472,0.97494,0.99394,0.69179,1.10451,0.44799,1.41902,0.0004085,0.0004085,0.0004085
36,674.224,0.94972,0.76312,1.25919,0.99067,0.95857,0.99269,0.69106,1.09124,0.4329,1.40647,0.00038375,0.00038375,0.00038375
37,693.151,0.9498,0.74541,1.2543,0.99421,0.97487,0.99429,0.68966,1.10196,0.42132,1.41953,0.000359,0.000359,0.000359
38,712.111,0.94248,0.75454,1.25486,0.98267,0.98381,0.99391,0.69942,1.07961,0.42177,1.41149,0.00033425,0.00033425,0.00033425
39,731.148,0.94443,0.72889,1.25556,0.96672,0.99445,0.99493,0.71024,1.06963,0.39736,1.38941,0.0003095,0.0003095,0.0003095
40,750.401,0.93554,0.70632,1.24734,0.98711,0.98029,0.99392,0.69934,1.0933,0.42204,1.39097,0.00028475,0.00028475,0.00028475
41,808.526,0.89127,0.65205,1.29137,0.94877,0.98198,0.99417,0.702,1.05818,0.40718,1.36671,0.00026,0.00026,0.00026
42,827.612,0.84699,0.56124,1.25601,0.98982,0.99355,0.995,0.69867,1.10226,0.40429,1.40056,0.00023525,0.00023525,0.00023525
43,846.732,0.84908,0.56238,1.25484,0.98143,0.9896,0.9942,0.69667,1.07802,0.40663,1.39744,0.0002105,0.0002105,0.0002105
44,865.974,0.83245,0.53658,1.23842,0.98974,0.99234,0.995,0.69742,1.08193,0.39272,1.39799,0.00018575,0.00018575,0.00018575
45,885.762,0.83424,0.52622,1.24965,0.98799,0.99074,0.99483,0.70209,1.09853,0.39631,1.4019,0.000161,0.000161,0.000161
